vran-dev/databasir,8.0.27,"2023-03-23 04:16:58",git://github.com/vran-dev/databasir.git
asdhammu/Restaurant,5.1.9,"2022-12-16 06:39:55",git://github.com/asdhammu/Restaurant.git
juanwolf/mysql-binlog-replicator,0.2.2,"2015-08-28 14:38:10",git://github.com/juanwolf/mysql-binlog-replicator.git
apache/shardingsphere,5.1.47,"2023-04-11 02:38:09",git://github.com/apache/shardingsphere.git
GoogleCloudPlatform/appengine-cloudsql-native-mysql-datanucleus-jdo-demo-java,5.1.25,"2018-01-08 23:05:18",git://github.com/GoogleCloudPlatform/appengine-cloudsql-native-mysql-datanucleus-jdo-demo-java.git
houbb/metadata,5.1.34,"2018-06-27 03:36:31",git://github.com/houbb/metadata.git
itfsw/mybatis-generator-plugin,8.0.16,"2022-06-20 23:01:55",git://github.com/itfsw/mybatis-generator-plugin.git
polardb/polardbx-sql,5.1.49,"2023-04-07 06:56:04",git://github.com/polardb/polardbx-sql.git
EShineYu/nacos-2.0.0-mysql-postgresql,8.0.21,"2021-04-10 05:09:31",git://github.com/EShineYu/nacos-2.0.0-mysql-postgresql.git
KUMAR-REDDY-BAVANASI/petclinic-docker-mysql,8.0.19,"2022-11-30 06:43:18",git://github.com/KUMAR-REDDY-BAVANASI/petclinic-docker-mysql.git
macrozheng/mall-swarm,8.0.29,"2023-01-04 01:47:59",git://github.com/macrozheng/mall-swarm.git
yiding-he/mysql-sequence-generator,8.0.29,"2023-01-13 03:02:11",git://github.com/yiding-he/mysql-sequence-generator.git
liquibase/liquibase-percona,8.0.30,"2023-04-07 11:57:18",git://github.com/liquibase/liquibase-percona.git
xin497668869/binlog2sql_java,5.1.41,"2019-02-13 03:49:59",git://github.com/xin497668869/binlog2sql_java.git
GoogleCloudPlatform/appengine-cloudsql-native-mysql-eclipselink-jpa-demo-java,5.1.25,"2018-01-08 23:04:13",git://github.com/GoogleCloudPlatform/appengine-cloudsql-native-mysql-eclipselink-jpa-demo-java.git
handosme/mybatis-generator-plus,5.1.37,"2021-10-15 06:02:03",git://github.com/handosme/mybatis-generator-plus.git
dolyw/ShiroJwt,5.1.46,"2022-06-21 00:47:32",git://github.com/dolyw/ShiroJwt.git
liuht777/Taroco,5.1.47,"2022-06-21 00:48:12",git://github.com/liuht777/Taroco.git
hellokoding/jooq-mysql,6.0.3,"2016-07-11 04:30:55",git://github.com/hellokoding/jooq-mysql.git
binghe001/mykit-data,5.1.49,"2023-04-06 05:52:30",git://github.com/binghe001/mykit-data.git
jenkinsci/database-mysql-plugin,8.0.32,"2023-03-27 09:43:31",git://github.com/jenkinsci/database-mysql-plugin.git
anychart-integrations/java-spring-hibernate-mysql-template,5.1.36,"2017-12-21 04:22:01",git://github.com/anychart-integrations/java-spring-hibernate-mysql-template.git
muralindia/java_login_tomcat_mysql,8.0.13,"2022-09-08 18:08:04",git://github.com/muralindia/java_login_tomcat_mysql.git
DevDungeon/mysql2excel,5.1.18,"2018-03-26 03:47:20",git://github.com/DevDungeon/mysql2excel.git
GoogleCloudPlatform/appengine-cloudsql-native-mysql-datanucleus-jpa-demo-java,5.1.25,"2020-08-04 20:20:44",git://github.com/GoogleCloudPlatform/appengine-cloudsql-native-mysql-datanucleus-jpa-demo-java.git
yangengzhe/webChat,5.1.30,"2022-12-16 03:19:59",git://github.com/yangengzhe/webChat.git
Mrtenz/MySQLAPI,5.1.39,"2017-11-02 19:46:34",git://github.com/Mrtenz/MySQLAPI.git
guoyu511/vertx-mysql-binlog-client,5.1.38,"2017-10-29 03:00:19",git://github.com/guoyu511/vertx-mysql-binlog-client.git
yongzhuo/JavaLearning,5.1.43,"2019-03-26 03:04:27",git://github.com/yongzhuo/JavaLearning.git
FreeSlaver/maxwell-sink,5.1.39,"2022-06-25 11:11:40",git://github.com/FreeSlaver/maxwell-sink.git
oldwang666666/springboot-mysql-mybatis-demo,8.0.11,"2022-06-21 02:27:40",git://github.com/oldwang666666/springboot-mysql-mybatis-demo.git
KUMAR-REDDY-BAVANASI/petclinic-mysql-docker-compose,8.0.19,"2022-11-30 06:46:00",git://github.com/KUMAR-REDDY-BAVANASI/petclinic-mysql-docker-compose.git
chenshun00/o-mysql,5.1.22,"2019-01-03 07:28:38",git://github.com/chenshun00/o-mysql.git
dc-square/paho-wildcard-subscriber,5.1.24,"2013-04-19 09:44:08",git://github.com/dc-square/paho-wildcard-subscriber.git
SloppyJack/SimpleRecord_SpringBoot,8.0.20,"2022-06-21 03:58:21",git://github.com/SloppyJack/SimpleRecord_SpringBoot.git
freeacs/freeacs,8.0.15,"2021-09-04 09:31:07",git://github.com/freeacs/freeacs.git
SanjulaD/Hostel-Management-System,8.0.16,"2021-01-20 13:39:29",git://github.com/SanjulaD/Hostel-Management-System.git
theanswer910725/seckill,5.1.35,"2022-12-16 05:26:33",git://github.com/theanswer910725/seckill.git
liquibase/liquibase,8.0.30,"2023-04-11 01:27:42",git://github.com/liquibase/liquibase.git
hf200012/oceanus.bi,8.0.15,"2022-09-02 14:11:58",git://github.com/hf200012/oceanus.bi.git
sqlancer/sqlancer,8.0.30,"2023-04-09 15:57:26",git://github.com/sqlancer/sqlancer.git
neagkv/bot_arbitrage,5.1.6,"2018-01-31 23:12:37",git://github.com/neagkv/bot_arbitrage.git
sunkaifei/FlyCms,5.1.38,"2019-12-21 04:44:30",git://github.com/sunkaifei/FlyCms.git
DMinerJackie/JewelCrawler,5.1.38,"2019-03-24 02:21:27",git://github.com/DMinerJackie/JewelCrawler.git
mybatis-flex/mybatis-flex,5.1.49,"2023-04-10 10:31:01",git://github.com/mybatis-flex/mybatis-flex.git
lkmc2/SqlFaker,5.1.46,"2022-06-21 00:50:42",git://github.com/lkmc2/SqlFaker.git
NextMark/datashops,8.0.16,"2022-05-21 08:16:07",git://github.com/NextMark/datashops.git
itning/Student-Homework-Management-System,6.0.6,"2022-02-11 05:35:31",git://github.com/itning/Student-Homework-Management-System.git
HarshKapadia2/JDBC_LibraryManagementSystem,8.0.18,"2022-06-21 02:06:43",git://github.com/HarshKapadia2/JDBC_LibraryManagementSystem.git
guang19/framework-learning,8.0.18,"2022-09-08 01:20:10",git://github.com/guang19/framework-learning.git
lemonJun/TakinMysql,5.1.6,"2017-10-15 03:29:20",git://github.com/lemonJun/TakinMysql.git
andistoev/testing-pessimistic-locking-handling-spring-boot-jpa-mysql,8.0.20,"2021-01-03 21:50:17",git://github.com/andistoev/testing-pessimistic-locking-handling-spring-boot-jpa-mysql.git
danielme-com/Spring-3---JPA-2---Hibernate-4---c3p0---EHCache---log4j-Integration-Demo,5.1.43,"2017-08-31 17:14:31",git://github.com/danielme-com/Spring-3---JPA-2---Hibernate-4---c3p0---EHCache---log4j-Integration-Demo.git
shoukailiang/blog-community,8.0.21,"2022-06-21 01:40:33",git://github.com/shoukailiang/blog-community.git
sanyueruanjian/smpe-admin,5.1.48,"2021-09-02 07:10:00",git://github.com/sanyueruanjian/smpe-admin.git
xushaomin/apple-binlog,8.0.12,"2022-06-21 00:13:17",git://github.com/xushaomin/apple-binlog.git
liutaojava/litemall,5.1.46,"2023-03-04 09:53:06",git://github.com/liutaojava/litemall.git
mangila/spring-restful-jpa-flyway,8.0.29,"2022-05-16 21:24:22",git://github.com/mangila/spring-restful-jpa-flyway.git
rikturnbull/iam-jdbc-driver,5.1.46,"2018-04-25 17:41:08",git://github.com/rikturnbull/iam-jdbc-driver.git
xlorne/lorne_mysql,5.1.38,"2018-04-08 03:46:34",git://github.com/xlorne/lorne_mysql.git
sakserv/mysql-test-data-generator,5.1.34,"2015-05-12 13:48:26",git://github.com/sakserv/mysql-test-data-generator.git
hivemq/hivemq-database-example-plugin,5.1.31,"2022-06-21 00:46:34",git://github.com/hivemq/hivemq-database-example-plugin.git
HouariZegai/quiz-app,5.1.42,"2022-06-21 01:08:28",git://github.com/HouariZegai/quiz-app.git
ititandev/threadripper-chat-api,8.0.11,"2018-11-18 01:39:35",git://github.com/ititandev/threadripper-chat-api.git
geeker-lait/tasfe-framework,5.1.30,"2017-08-19 03:59:59",git://github.com/geeker-lait/tasfe-framework.git
juanwolf/mysql-binlog-replicator-example,1.0.5,"2015-07-31 07:58:44",git://github.com/juanwolf/mysql-binlog-replicator-example.git
arnaudsjs/YCSB-mysql-cluster-binding,5.1.6,"2015-03-03 18:21:50",git://github.com/arnaudsjs/YCSB-mysql-cluster-binding.git
qlik-oss/core-grpc-jdbc-connector,8.0.18,"2020-10-12 13:33:46",git://github.com/qlik-oss/core-grpc-jdbc-connector.git
hnjaman/spring-boot-microservices,5.1.6,"2020-03-01 17:09:05",git://github.com/hnjaman/spring-boot-microservices.git
wgzhao/Addax,8.0.28,"2023-04-10 00:57:53",git://github.com/wgzhao/Addax.git
frjufvjn/vertx-mybatis,5.1.25,"2022-06-29 17:00:59",git://github.com/frjufvjn/vertx-mybatis.git
gouwuwo/database-ddl-transfer,8.0.14,"2022-09-08 01:05:06",git://github.com/gouwuwo/database-ddl-transfer.git
YRREALLYCUTE/elasticsearch-analysis-dynamic-synonym-mysql,5.1.18,"2022-05-29 06:41:37",git://github.com/YRREALLYCUTE/elasticsearch-analysis-dynamic-synonym-mysql.git
feltex/academicnet,8.0.19,"2022-10-09 14:29:44",git://github.com/feltex/academicnet.git
