RTBHOUSE/kafka-workers,CVE-2021-38153
RTBHOUSE/kafka-workers,CVE-2023-25194
openzipkin-contrib/brave-kafka-interceptor,CVE-2020-27218
openzipkin-contrib/brave-kafka-interceptor,CVE-2021-38153
openzipkin-contrib/brave-kafka-interceptor,CVE-2023-25194
yangruochen/kafka-common,CVE-2019-12399
yangruochen/kafka-common,CVE-2021-38153
yangruochen/kafka-common,CVE-2023-25194
xushiyan/kafka-connect-datagen,CVE-2018-17196
brunobatista25/automation_kafka,CVE-2021-38153
brunobatista25/automation_kafka,CVE-2022-34917
brunobatista25/automation_kafka,CVE-2023-25194
university-of-auckland/kafka-http-sink-connector,CVE-2019-12399
university-of-auckland/kafka-http-sink-connector,CVE-2021-38153
streamnative/pulsar-io-kafka,CVE-2019-12399
streamnative/pulsar-io-kafka,CVE-2021-38153
streamnative/pulsar-io-kafka,CVE-2023-25194
QuickSign/kafka-encryption,CVE-2018-17196
QuickSign/kafka-encryption,CVE-2019-12399
QuickSign/kafka-encryption,CVE-2021-38153
ebi-wp/kafka-streams-api-websockets,CVE-2018-17196
goudai/spring-boot-starter-kafka,CVE-2019-12399
goudai/spring-boot-starter-kafka,CVE-2021-38153
confluentinc/parallel-consumer,CVE-2023-25194
llofberg/kafka-connect-aws-lambda,CVE-2018-17196
llofberg/kafka-connect-aws-lambda,CVE-2019-12399
llofberg/kafka-connect-aws-lambda,CVE-2021-38153
jcustenborder/connect-utils,CVE-2021-38153
jcustenborder/connect-utils,CVE-2022-34917
jcustenborder/connect-utils,CVE-2023-25194
laymain/kafka-tool-avro,CVE-2018-17196
laymain/kafka-tool-avro,CVE-2021-38153
qindongliang/log_to_kafka,CVE-2018-17196
qindongliang/log_to_kafka,CVE-2021-38153
Nordstrom/kafka-connect-lambda,CVE-2022-34917
Nordstrom/kafka-connect-lambda,CVE-2023-25194
chickling/kmanager,CVE-2017-12610
chickling/kmanager,CVE-2018-1288
wso2-extensions/esb-connector-kafka,CVE-2019-12399
wso2-extensions/esb-connector-kafka,CVE-2021-38153
wso2-extensions/esb-connector-kafka,CVE-2023-25194
wso2-extensions/esb-inbound-kafka,CVE-2023-25194
ibm-messaging/kafka-connect-jdbc-sink,CVE-2021-38153
ibm-messaging/kafka-connect-jdbc-sink,CVE-2023-25194
openzipkin-contrib/zipkin-storage-kafka,CVE-2020-27218
openzipkin-contrib/zipkin-storage-kafka,CVE-2021-38153
openzipkin-contrib/zipkin-storage-kafka,CVE-2023-25194
berndruecker/kafka-camunda-spring-simple,CVE-2023-25194
ipa-digitools/simple-kafka-mqtt-connector,CVE-2022-34917
ipa-digitools/simple-kafka-mqtt-connector,CVE-2023-25194
jairsjunior/kafka-oauth,CVE-2018-17196
jairsjunior/kafka-oauth,CVE-2019-12399
jairsjunior/kafka-oauth,CVE-2021-38153
SINTEF-9012/kafka-mqtt-source-connector,CVE-2021-38153
SINTEF-9012/kafka-mqtt-source-connector,CVE-2023-25194
yugabyte/yb-kafka-connector,CVE-2017-12610
yugabyte/yb-kafka-connector,CVE-2018-1288
fhussonnois/kafka-examples,CVE-2018-17196
matt-mangia/kafka-admin,CVE-2021-38153
matt-mangia/kafka-admin,CVE-2023-25194
sahabpardaz/kafka-parquet-writer,CVE-2023-25194
jeqo/post-kafka-rewind-consumer-offset,CVE-2017-12610
jeqo/post-kafka-rewind-consumer-offset,CVE-2018-1288
domwood/kiwi-kafka,CVE-2021-38153
domwood/kiwi-kafka,CVE-2023-25194
riferrei/prioritization-kafka,CVE-2021-38153
riferrei/prioritization-kafka,CVE-2023-25194
farmdawgnation/registryless-avro-converter,CVE-2021-38153
farmdawgnation/registryless-avro-converter,CVE-2023-25194
yunnet/kafkaEagle,CVE-2017-12610
yunnet/kafkaEagle,CVE-2018-1288
vmware-archive/kafka-service-broker,CVE-2017-12610
vmware-archive/kafka-service-broker,CVE-2018-1288
OneCricketeer/schema-registry-transfer-smt,CVE-2018-17196
OneCricketeer/schema-registry-transfer-smt,CVE-2019-12399
OneCricketeer/schema-registry-transfer-smt,CVE-2021-38153
bakdata/kafka-large-message-serde,CVE-2023-25194
nbuesing/kafka-streams-dashboards,CVE-2022-34917
nbuesing/kafka-streams-dashboards,CVE-2023-25194
ibm-messaging/kafka-connect-rabbitmq-source,CVE-2021-38153
ibm-messaging/kafka-connect-rabbitmq-source,CVE-2023-25194
BarisDere/kafka-egitimi,CVE-2021-38153
